No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre-Planning ,Stage 3 Pre-Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,Site Start,Practical Completion
15,SHIP CONSTRUCTION TURNKEY,Carlow,"Sleaty Street, Carlow",26,*N/A,Stage 1 approved in Q2 2016 outline design and costs now being prepared,,,,,
16,CALF CONSTRUCTION TURNKEY,Cavan,"Cluain Dara, Kingscourt",16,Cluid Housing Association,,,,,,Q4 2016
17,CALF CONSTRUCTION TURNKEY,Cavan,"Drumalee Manor, Drumalee",11,Túath Housing Association,,,,Scheme approved for CALF funding Q1 2017,,
18,SHIP CONSTRUCTION,Cavan,"Rosehill, Mullagh (Phase 6) ",8,*N/A,Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
19,SHIP CONSTRUCTION,Cavan,"Woodlands, Ballyhaise",8,*N/A,,Stage 2 approved in Q2 2016 full design/tender being prepared,,,,
20,SHIP CONSTRUCTION,Cavan,Butlersbridge ,6,*N/A,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
21,CALF CONSTRUCTION,Clare,"Bruachlan, Westbury",22,Co-operative Ireland,,,,Scheme approved for CALF funding Q2 2016,,
22,CALF CONSTRUCTION TURNKEY,Clare,"Lios Anama, Sixmilebridge",28,Co-operative Ireland,,,,,Q3 2016,
23,CAS CONSTRUCTION,Clare,Doonbeg,12,Kilkee Housing Association,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
24,CAS CONSTRUCTION,Clare,"Cahercalla, Ennis (Phase 2) ",10,Cuan an Chlair,Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
25,CAS CONSTRUCTION,Clare,"Kildysart Road, Ennis ",7,Clare Haven Services Ltd.,,Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
26,CAS CONSTRUCTION,Clare,"Laurel Lodge, Clare Road, Ennis",3,"Society of Saint Vincent 
de Paul",,,,,,Q4 2016
27,SHIP CONSTRUCTION,Clare,"Seaview Park, Quilty",18,*N/A,Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
28,SHIP CONSTRUCTION,Clare,Feakle,10,*N/A,Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
29,SHIP CONSTRUCTION,Clare,"Glor Srutha, Knockbrack Lower, Clonlara",7,*N/A,Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
30,SHIP CONSTRUCTION,Clare,"Tullyglass, Shannon",21,*N/A,,Stage 2 approved in Q2 2016 full design/tender being prepared,,,,
31,CALF CONSTRUCTION,Cork,Firgrove Harrisons Lane,6,Co-operative Ireland,,,,,Q3 2016,
32,CALF CONSTRUCTION TURNKEY,Cork,"Enniskeane, Co. Cork",12,Cluid Housing Association,,,,Scheme approved for CALF funding Q1 2017,,
33,CALF CONSTRUCTION TURNKEY,Cork,Passage West area,3,Cluid Housing Association,,,,Scheme approved for CALF funding Q4 2016,,
34,CALF CONSTRUCTION TURNKEY,Cork,"College Manor, Cobh",10,Túath Housing Association,,,,,,Q4 2016
35,CALF CONSTRUCTION TURNKEY,Cork,"Ticknock, Cobh",8,Respond!,,,,,Q1 2017,
36,CAS CONSTRUCTION,Cork,"Brookwood, Kilnagurteen, Macroom",1,Anvers Housing Association,Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
37,CAS CONSTRUCTION,Cork,"Sisters of Mercy Church and Convent at Knocknamuck, Bantry Bay",16,Cluid Housing Association,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
38,CAS CONSTRUCTION,Cork,"Duntahan Road, Fermoy",12,Respond! ,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
39,CAS CONSTRUCTION,Cork,"Church View, Love Lane, Charleville",6,Charleville Care Project Ltd,,,,"Stage 4 approval Q1 2017, scheme is now fully approved",,
40,CAS CONSTRUCTION,Cork,"Cuan Barra, Kilmore, Ballingeary",3,Coiste Tithe Uibh Laoire Teo,,,,"Stage 4 approval Q1 2017, scheme is now fully approved",,
41,CAS CONSTRUCTION,Cork,"St. Francis Court, Youghal",4,Respond!  ,,,,"Stage 4 approval Q1 2017, scheme is now fully approved",,
42,CAS CONSTRUCTION,Cork,"Townlands, Rosscarbery",9,Rosscarbery Housing Association,,,,"Stage 4 approval Q1 2017, scheme is now fully approved",,
43,CAS CONSTRUCTION,Cork,"Avenue House, Bandon",9,Bandon Geriatric & Community Council,,,,,Q3 2016,
44,CAS CONSTRUCTION,Cork,"Fellowship House, Togher",31,Tabor Lodge Addiction & Housing Services,,,,,Q1 2017,
45,SHIP CONSTRUCTION,Cork,"Beechgrove, Clonakilty",56,*N/A,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
46,SHIP CONSTRUCTION,Cork,"Bluepool, Kanturk (Private Sites)",16,*N/A,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
47,SHIP CONSTRUCTION,Cork,"Cloyne, East Cork",9,*N/A,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
48,SHIP CONSTRUCTION,Cork,"Kilnagleary, Carrigaline",49,*N/A,Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
49,SHIP CONSTRUCTION,Cork,"Poulavone, Ballincollig",67,*N/A,Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
50,SHIP CONSTRUCTION,Cork,Castle Treasure Grove,1,*N/A,Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
51,SHIP CONSTRUCTION,Cork,"Newtown, Bantry",1,*N/A,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
52,SHIP CONSTRUCTION,Cork,"Droum, Castletownbere",2,*N/A,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
53,SHIP CONSTRUCTION,Cork,"Fairfield, Macroom",7,*N/A,,,,"Stage 4 approval Q1 2017, scheme is now fully approved",,
54,SHIP CONSTRUCTION,Cork,"Oliver Plunkett Hill, Fermoy",10,*N/A,,,,,Q4 2015,
55,SHIP CONSTRUCTION TURNKEY,Cork,Ballincollig ,34,*N/A,Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
56,SHIP CONSTRUCTION TURNKEY,Cork,Kanturk,25,*N/A,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
57,SHIP CONSTRUCTION TURNKEY,Cork,Whitechurch,8,*N/A,Stage 1 approved in Q2 2016 outline design and costs now being prepared,,,,,
58,SHIP CONSTRUCTION TURNKEY,Cork,"Abbeywood, Midelton ",61,*N/A,Stage 1 approved in Q4 2015 outline design and costs now being prepared,,,,,
59,SHIP CONSTRUCTION TURNKEY,Cork,Bantry,30,*N/A,Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
60,SHIP CONSTRUCTION TURNKEY,Cork,"College Wood, Cobh",32,*N/A,,,,,Q1 2016,
61,SHIP CONSTRUCTION TURNKEY,Cork,"Castletreasure, Douglas (Phase 3)",12,*N/A,,,,,Q4 2016,
62,SHIP CONSTRUCTION TURNKEY,Cork,"Crannard, Fermoy",52,*N/A,,,,,Q1 2017,
63,SHIP CONSTRUCTION TURNKEY,Cork,CulAird Carraigtwohill,29,*N/A,,,,,Q4 2016,
64,SHIP CONSTRUCTION TURNKEY,Cork,"Castletreasure, Douglas (Phase 1)",12,*N/A,,,,,,Q1 2017
65,SHIP CONSTRUCTION TURNKEY,Cork,"Castletreasure, Douglas (Phase 2)",16,*N/A,,,,,,Q1 2017
66,CALF CONSTRUCTION,Cork City,"124 Lr. Glanmire Road & 2 Breamer, Cork",6,Galtan Ltd,,,,Scheme approved for CALF funding Q4 2016,,
67,CALF CONSTRUCTION TURNKEY,Cork City,Cork City area,18,Cluid Housing Association,,,,Scheme approved for CALF funding Q3 2016,,
68,CALF CONSTRUCTION TURNKEY,Cork City,"Sonamar, Togher",8,Respond!,,,,,Q4 2016,
69,CALF CONSTRUCTION TURNKEY,Cork City,"Popes Road, Blackpool",7,Cluid Housing Association,,,,,Q1 2017,
70,CALF CONSTRUCTION TURNKEY,Cork City,"Millfield Cottages, Blackpool",18,Respond!,,,,Scheme approved for CALF funding Q3 2016,,
71,CAS CONSTRUCTION,Cork City,"Edel House, Grattan Street",33,Good Shepherd Services Ltd,,Stage 2 approved in Q1 2016 full design/tender being prepared,,,,
72,CAS CONSTRUCTION,Cork City,"St. Joachim & Anne's, Anglesea Street",8,Cork Simon,,Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
73,CAS CONSTRUCTION,Cork City,Thomas Davis Street,35,Respond!  ,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
74,CAS CONSTRUCTION,Cork City,"Saint Vincent's Convent, Vincent's Ave/St. Mary's Street",25,Respond!  ,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
75,CAS CONSTRUCTION,Cork City,"Ceanncora Lawn, Ballinlough",1,Cork Mental Health,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
76,CAS CONSTRUCTION,Cork City,"27-29 Dublin Street, Blackpool",10,Respond!  ,,,,,Q4 2016,
77,REGENERATION,Cork City,Phase 1 B Knocknaheeny,29,*N/A,,,,,Q1 2016,
78,REGENERATION,Cork City,Phase 2A Knocknaheeny,47,*N/A,,Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
79,SHIP CONSTRUCTION,Cork City,Boyces Street,50,*N/A,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
80,SHIP CONSTRUCTION,Cork City,Shandon Street/John Philpott Curran Street,9,*N/A,Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
81,SHIP CONSTRUCTION,Cork City,"Deanrock, Togher",66,*N/A,,Stage 2 approved in Q2 2016 full design/tender being prepared,,,,
82,SHIP CONSTRUCTION,Cork City,Gerald Griffin Street,40,*N/A,,Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
83,SHIP CONSTRUCTION,Cork City,St. Johns Well,6,*N/A,,Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
84,SHIP CONSTRUCTION,Cork City,Churchfield Place East,3,*N/A,,Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
85,SHIP CONSTRUCTION,Cork City,"The Meadows, Knocknacullen",1,*N/A,,,,,,Q3 2016
86,SHIP CONSTRUCTION,Cork City,Cappanoole,2,*N/A,,,,,,Q4 2016
87,SHIP CONSTRUCTION TURNKEY,Cork City,Tramore Road ,4,*N/A,,,,,Q1 2017,
88,SHIP CONSTRUCTION TURNKEY,Cork City,High Street,10,*N/A,,,,,Q1 2017,
89,SHIP CONSTRUCTION TURNKEY,Cork City,Whites Street,46,*N/A,,,,,Q1 2017,
90,SHIP CONSTRUCTION TURNKEY,Cork City,Faranree,5,*N/A,,,,,Q1 2017,
91,SHIP CONSTRUCTION TURNKEY,Cork City,Arus Mhuire,30,*N/A,,,,,Q1 2017,
92,SHIP CONSTRUCTION TURNKEY,Cork City,Woods Street ,16,*N/A,,,,,Q1 2017,
93,SHIP CONSTRUCTION TURNKEY,Cork City,Barack Street,32,*N/A,,,,,Q1 2017,
94,SHIP CONSTRUCTION TURNKEY,Cork City,Church Road,43,*N/A,,,,,Q1 2017,
95,SHIP CONSTRUCTION TURNKEY,Cork City,"Sheridan Park, Tramore Road",28,*N/A,,,,,,Q4 2016
96,SHIP CONSTRUCTION TURNKEY,Cork City,"Ard Aoibhinn, Banduff, Mayfield",5,*N/A,,,,,Q1 2017,
97,SHIP CONSTRUCTION TURNKEY,Cork City,Corcorans Quay,3,*N/A,,,,,Q1 2017,
98,CALF CONSTRUCTION TURNKEY,DLR,Respond & Tuath Project Dublin 18 area.,56,Respond!,,,,Scheme approved for CALF funding Q1 2017,,
99,CALF CONSTRUCTION TURNKEY,DLR,Respond & Tuath Project Dublin 18 area.,49,Túath Housing Association,,,,Scheme approved for CALF funding Q1 2017,,
100,CALF CONSTRUCTION TURNKEY,DLR,"Hyde Road, Belmont, Stepaside, Co. Dublin ",8,Respond!,,,,,Q1 2016,
101,CAS CONSTRUCTION,DLR,"30 Obelisk Walk, Blackrock",4,St. John of God,Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
102,SHIP CONSTRUCTION,DLR,"152 Pottery Road, Dun Laoghaire",4,*N/A,,Stage 2 approved in Q2 2016 full design/tender being prepared,,,,
103,SHIP CONSTRUCTION,DLR,"66 Georges Street, Dun Laoghaire",4,*N/A,,Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
104,SHIP CONSTRUCTION,DLR,"33,35, & 37 Temple Road",3,*N/A,,,Stage 3 approved in Q4 2016 scheme now being tendered,,,
105,SHIP CONSTRUCTION,DLR,Broadford Rise,21,*N/A,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
106,SHIP CONSTRUCTION,DLR,Assistant Harbour Master House,2,*N/A,,,,,Q4 2016,
107,SHIP CONSTRUCTION,DLR,Sallynoggin Park ,4,*N/A,,,,,Q4 2016,
108,SHIP CONSTRUCTION,DLR,Park Close - Sallynoggin,10,*N/A,,,,,Q4 2016,
109,SHIP CONSTRUCTION,DLR,Shanganagh Park Lodge,1,*N/A,,,,,,Q3 2016
110,SHIP CONSTRUCTION,DLR,Rosemount Court,44,*N/A,,,,,Q4 2016,
111,SHIP CONSTRUCTION,DLR,Rochestown House (Phase 3),14,*N/A,,,,,Q3 2016,
112,SHIP CONSTRUCTION,DLR,Fitzgerald Park,50,*N/A,,,,,Q4 2016,
113,SHIP CONSTRUCTION,DLR,St Michaels Terrace,4,*N/A,,,,,Q2 2016,
114,SHIP CONSTRUCTION,DLR,Cromlech Close,15,*N/A,,,,,,Q3 2016
115,SHIP CONSTRUCTION,DLR,Clontibret House,4,*N/A,,,,,,Q4 2016
116,SHIP CONSTRUCTION,DLR,Rochestown House (Phase 2),34,*N/A,,,,,,Q2 2016
117,SHIP CONSTRUCTION RAPID,DLR,Glenamuck/Stillorgan (Rockville Drive),14,*N/A,,Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
118,SHIP CONSTRUCTION RAPID,DLR,George's Place,12,*N/A,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
119,SHIP CONSTRUCTION RAPID,DLR,Churchtown,28,*N/A,,,,,Q3 2016,
120,CALF CONSTRUCTION,Donegal, Ballyshannon area,11,Cluid Housing Association,,,,Scheme approved for CALF funding Q2 2015,,
121,CALF CONSTRUCTION TURNKEY,Donegal,Ballyshannon,22,Oaklee Housing Trust,,,,Scheme approved for CALF funding Q4 2016,,
122,CALF CONSTRUCTION TURNKEY,Donegal,"Forge Road, Donegal",4,Cluid Housing Association,,,,,,Q3 2016
123,CAS CONSTRUCTION,Donegal,"Meenmore, Dungloe",15,Donegal Parents and Friends Housing Association Ltd,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
124,CAS CONSTRUCTION,Donegal,"Glenrowan House, Drumkeen, Stranorlar",6,Apex Housing Association,Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
125,CAS CONSTRUCTION,Donegal,"Willowbrook, Glencar, Letterkenny",40,Apex Housing Association,Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
126,CAS CONSTRUCTION,Donegal,"Railway Park, Drumrooske, Donegal Town",10,Oaklee Housing Trust,,Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
127,CAS CONSTRUCTION,Donegal,"Dunshenny House, Derry Road, Carndonagh",5,Apex Housing Association,,,,"Stage 4 approval Q1 2017, scheme is now fully approved",,
128,SHIP CONSTRUCTION,Donegal,Carrigart (Phase 1)ÿÿÿÿÿ,17,*N/A,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
129,SHIP CONSTRUCTION,Donegal,"Cois Abhainn, St Johnston (Phase 2)",6,*N/A,Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
130,SHIP CONSTRUCTION,Donegal,"Radharc na Tra Breige, Malin (Phase 3)",8,*N/A,Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
131,SHIP CONSTRUCTION,Donegal,Dunfanaghy,13,*N/A,,Stage 2 approved in Q2 2016 full design/tender being prepared,,,,
132,SHIP CONSTRUCTION,Donegal,"Railway Park, Drumrooske, Donegal Town",24,*N/A,,Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
133,SHIP CONSTRUCTION,Donegal,Buncrana - Rockytown (Phase 1),21,*N/A,,Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
134,SHIP CONSTRUCTION,Donegal,"Meadow Hill, Raphoe",11,*N/A,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
135,SHIP CONSTRUCTION,Donegal,"Emerald Drive, Killybegs (Phase 6)",9,*N/A,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
136,SHIP CONSTRUCTION,Donegal,"Long Lane, Letterkenny ",29,*N/A,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
137,SHIP CONSTRUCTION,Donegal,Carndonagh - Abbots Wood (Phase 2),4,*N/A,,,Stage 3 approved in Q3 2016 scheme now being tendered,,,
138,SHIP CONSTRUCTION,Donegal,Manorcunningham (Phase 2),8,*N/A,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
139,SHIP CONSTRUCTION,Donegal,Ardara (Phase 3) ,8,*N/A,,,,,Q1 2016,
140,SHIP CONSTRUCTION,Donegal,Newtoncunningham,7,*N/A,,,,,Q1 2017,
141,SHIP CONSTRUCTION,Donegal,"Ard Connell, Ardara",1,*N/A,,,,,,Q1 2017
142,SHIP CONSTRUCTION,Donegal,Manorcunningham (Phase 1),2,*N/A,,,,,Q2 2016,
143,SHIP CONSTRUCTION TURNKEY,Donegal,"Gleann Na Greine, Mullindrait, Stranorlar",21,*N/A,,,,"Stage 4 approval Q4 2016, scheme is now fully approved",,
144,CALF CONSTRUCTION,Dublin City,"Annamore Court, Ballyfermot",70,The Iveagh Trust,,,,,Q1 2016,
145,CALF CONSTRUCTION,Dublin City,"Raleigh Square, Crumlin",33,Túath Housing Association,,,,Scheme approved for CALF funding Q4 2016,,
146,CALF CONSTRUCTION,Dublin City,"Broome Lodge, Dunmanus Court, Cabra",33,Cluid Housing Association,,,,,Q1 2016,
147,CALF CONSTRUCTION,Dublin City,"Poplar Row, Dublin 3",29,Oaklee Housing Trust,,,,Scheme approved for CALF funding Q1 2015,,
148,CALF CONSTRUCTION,Dublin City,"St Mary?s Mansions, Dublin 1",56,Cluid Housing Association,,,,Scheme approved for CALF funding Q1 2015,,
149,CALF CONSTRUCTION,Dublin City,"Richmond Road, Dublin 9",39,Co-operative Ireland,,,,Scheme approved for CALF funding Q4 2015,,
150,CALF CONSTRUCTION,Dublin City,"Orchard Lawns, Ballyfermot",72,Co-operative Ireland,,,,,Q4 2016,
151,CALF CONSTRUCTION,Dublin City,"Harolds Cross, Dublin 6",28,Focus Ireland,,,,,,Q4 2016
152,CALF CONSTRUCTION,Dublin City,"Wad River Close, Ballymun, Dublin 9",8,Cluid Housing Association,,,,Scheme approved for CALF funding Q2 2016,,
153,CALF CONSTRUCTION,Dublin City,Ballygall Road East - Phase 2,11,Fold Ireland Housing Association,,,,,,Q1 2016
154,CALF CONSTRUCTION,Dublin City,"Dolphin Park, Rialto, Dublin 8",43,Fold Ireland Housing Association,,,,Scheme approved for CALF funding Q1 2017,,
155,CALF CONSTRUCTION TURNKEY,Dublin City,"Merville Court, Merville Avenue, Fairview",5,Co-operative Ireland,,,,,,Q1 2017
156,CALF CONSTRUCTION TURNKEY,Dublin City,"Stormanstown Hall, Ballymun Road, (revised)",42,Oaklee Housing Trust,,,,,Q4 2016,
157,CALF CONSTRUCTION TURNKEY,Dublin City,"Thornwood, Beaumont - Final Phase",22,Túath Housing Association,,,,,,Q1 2017
158,CALF CONSTRUCTION TURNKEY,Dublin City,"Thornwood, Beaumont - Phase 1",46,Túath Housing Association,,,,,,Q3 2016
159,CALF CONSTRUCTION TURNKEY,Dublin City,"St Agnes Convent, Armagh Road, Crumlin, Dublin 12",97,Fold Ireland Housing Association,,,,Scheme approved for CALF funding Q4 2016,,
160,CALF CONSTRUCTION TURNKEY,Dublin City,"An Riasc, Farnham Drive, Finglas - Phase 1",14,Túath Housing Association,,,,,,Q4 2016
161,CALF CONSTRUCTION TURNKEY,Dublin City,"An Riasc, Farnham Drive, Finglas - Phase 2",21,Túath Housing Association,,,,,,Q1 2017
162,CALF CONSTRUCTION TURNKEY,Dublin City,"An Riasc, Farnham Drive, Finglas - Phase 3",14,Túath Housing Association,,,,,Q3 2015,
163,CALF CONSTRUCTION TURNKEY,Dublin City,"Long Mile Road, Dublin 12",61,Respond!,,,,Scheme approved for CALF funding Q1 2017,,
164,CALF CONSTRUCTION TURNKEY,Dublin City,"Clongriffin, Dublin 13",84,The Iveagh Trust,,,,Scheme approved for CALF funding Q1 2017,,
165,CALF CONSTRUCTION TURNKEY,Dublin City,"11-13 Crumlin Village, Dublin 12 ",5,Cluid Housing Association,,,,,Q1 2017,
166,CAS CONSTRUCTION,Dublin City,180-187 Townsend Street,18,Peter McVerry,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
167,CAS CONSTRUCTION,Dublin City,"Ellis Court, Dublin",23,Túath Housing Association,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
168,CAS CONSTRUCTION,Dublin City,"Rafter's Lane, Dublin 12",15,Walkinston Housing,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
169,CAS CONSTRUCTION,Dublin City,"Beechill, Dublin 4",20,RHDVHA,,Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
170,CAS CONSTRUCTION,Dublin City,"High Park, Dublin City",8,Respond!  ,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
171,CAS CONSTRUCTION,Dublin City,"Broome Lodge, Dunmanus, Dublin 7",10,Cluid Housing Association,,,,,Q1 2016,
172,CAS CONSTRUCTION,Dublin City,"St Agathas Court, North William Street, Dublin 1",11,Peter McVerry,,,,,Q2 2016,
173,REGENERATION,Dublin City,Dominick Street,73,*N/A,Stage 1 approved in Q2 2016 outline design and costs now being prepared,,,,,
174,REGENERATION,Dublin City,Sackville Avenue Cottages,12,*N/A,Stage 1 approved in Q2 2016 outline design and costs now being prepared,,,,,
175,REGENERATION,Dublin City,O'Devaney Gardens,56,*N/A,Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
176,REGENERATION,Dublin City,"Dolphin House, D8 Phase 1",100,*N/A,,,,,Q4 2016,
177,REGENERATION,Dublin City,Maxwell Road,9,*N/A,,,,,,Q2 2016
178,SHIP CONSTRUCTION,Dublin City,"Bunratty Road Phase 1c, Dublin 17",62,*N/A,Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
179,SHIP CONSTRUCTION,Dublin City,"Cornamona, Ballyfermot, Dublin 12",60,*N/A,Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
180,SHIP CONSTRUCTION,Dublin City,"Infirmary Road, Dublin 7",30,*N/A,Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
181,SHIP CONSTRUCTION,Dublin City,"Belcamp B, Dublin 17",12,*N/A,,Stage 2 approved in Q2 2015 full design/tender being prepared,,,,
182,SHIP CONSTRUCTION,Dublin City,"Belcamp C, Dublin 17",16,*N/A,,Stage 2 approved in Q2 2015 full design/tender being prepared,,,,
183,SHIP CONSTRUCTION,Dublin City,Hampton Wood,25,*N/A,,,,,,Q4 2016
184,SHIP CONSTRUCTION,Dublin City,"North King Street, Dublin 7",30,*N/A,,,,,Q1 2017,
185,SHIP CONSTRUCTION,Dublin City,"Ballybough Road, Dublin 1",7,*N/A,,,,,Q4 2016,
186,SHIP CONSTRUCTION,Dublin City,"Priory Hall, Dublin 13",35,*N/A,,,,,Q4 2014,
187,SHIP CONSTRUCTION RAPID,Dublin City,"Cherry Orchard, Ballyfermot",24,*N/A,,,,,Q4 2016,
188,SHIP CONSTRUCTION RAPID,Dublin City,"Mourne Road, Driminagh",29,*N/A,,,,,Q4 2016,
189,SHIP CONSTRUCTION RAPID,Dublin City,"St Helenas, Finglas",40,*N/A,,,,,Q4 2016,
190,SHIP CONSTRUCTION RAPID,Dublin City,"Belcamp, Dublin 17",38,*N/A,,,,,Q4 2016,
191,SHIP CONSTRUCTION RAPID,Dublin City,"Poppintree, Ballymun",22,*N/A,,,,,,Q2 2016
192,SHIP CONSTRUCTION RAPID,Dublin City,Wood bank/Rathvilly,17,*N/A,,,Stage 3 approved in Q4 2016 scheme now being tendered,,,
193,SHIP CONSTRUCTION RAPID,Dublin City,Cherry Orchard,53,*N/A,,,Stage 3 approved in Q4 2016 scheme now being tendered,,,
194,CALF CONSTRUCTION TURNKEY,Fingal,"The Gallery, Donabate",43,Oaklee Housing Trust,,,,Scheme approved for CALF funding Q3 2016,,
195,CALF CONSTRUCTION TURNKEY,Fingal,"Castlegrange, Clonsilla - Phase 3",8,Túath Housing Association,,,,,Q4 2015,
196,CALF CONSTRUCTION TURNKEY,Fingal,"Castlegrange, Clonsilla - Phase 2",21,Túath Housing Association,,,,,,Q1 2017
197,CALF CONSTRUCTION TURNKEY,Fingal,"Castlegrange, Clonsilla - Phase 1",19,Túath Housing Association,,,,,,Q4 2016
198,CALF CONSTRUCTION TURNKEY,Fingal,"Hansfield, Clonsilla, Dublin 15",98,Túath Housing Association,,,,,Q3 2016,
199,CALF CONSTRUCTION TURNKEY,Fingal,"Dun Emer, Lusk",54,Túath Housing Association,,,,Scheme approved for CALF funding Q4 2016,,
200,CAS CONSTRUCTION,Fingal,Killhedge Lane Dun Emer ,48,Túath Housing Association,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
