No.,Funding Programme,Local Authority,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
,CAS CONSTRUCTION,Carlow,"Mill Race Court, Carlow Town",14,Cluid Housing Association,"Stage 1 approved in Q3-2015, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Carlow,"Royal Oak Road, Bagenalstown",6,Respond,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
,CAS CONSTRUCTION,Carlow,"Ballincarrig, Wexford Road",6,Tintean Housing Association Ltd,,,,,,Q4-2016
,CALF CONSTRUCTION TURNKEY,Carlow,"Sleaty Street, Graigcullen, Carlow",26,Cluid Housing Association,,,,,Q1-2018,
,CALF CONSTRUCTION TURNKEY,Carlow,"Barrett Street, Bagnalstown",10,Tintean Housing Association,,,,,,Q1-2018
,CALF CONSTRUCTION TURNKEY,Carlow,"River Court,  Carlow 1/4*",10,Co-operative Housing Ireland,,,,Scheme approved for funding Q1 - 2018,,
,CALF CONSTRUCTION TURNKEY,Carlow,"River Court,  Carlow 2/4",16,Co-operative Housing Ireland,,,,Scheme approved for funding Q1 - 2018,,
,CALF CONSTRUCTION TURNKEY,Carlow,"Browneshill Wood, Browneshill Road, Chapelstown, Carlow 1/1",59,Túath Housing Association Ltd,,,,,Q1-2018,
,CALF CONSTRUCTION TURNKEY,Carlow,"River Court,  Carlow 3/4",12,Co-operative Housing Ireland,,,,Scheme approved for funding Q1 - 2018,,
,CALF CONSTRUCTION TURNKEY,Carlow,"River Court,  Carlow  4/4",9,Co-operative Housing Ireland,,,,Scheme approved for funding Q1 - 2018,,
,SHIP CONSTRUCTION,Cavan,"Rosehill, Mullagh (Phase 6)",8,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Cavan,Butlersbridge (Phase 2),4,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION,Cavan,"Woodlands, Ballyhaise",8,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Cavan,Butlersbridge (Phase 1),2,*N/A,,,,,,Q2-2017
,SHIP CONSTRUCTION,Cavan,"Clones Road, Butlersbridge",2,*N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Cavan,"Corstruce, Ballinagh",4,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,CALF CONSTRUCTION TURNKEY,Cavan,"Cluain Dara, Kingscourt",16,Cluid Housing Association,,,,,,Q4-2016
,CALF CONSTRUCTION TURNKEY,Cavan,"Drumalee Manor, Drumalee Phase 2",7,Túath Housing Association,,,,,Q1-2017,
,CALF CONSTRUCTION TURNKEY,Cavan,"Drumalee Manor, Drumalee Phase 1",4,Túath Housing Association,,,,,Q1-2017,
,SHIP CONSTRUCTION TURNKEY,Clare,"River View, School Road, Corofin",2,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Clare,"Roslevan, Ennis",8,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Clare,Feakle,13,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Clare,"Glor Srutha, Knockbrack Lower, Clonlara",9,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Clare,"Seaview Park, Quilty",18,*N/A,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Clare,"Tullyglass, Shannon",21,*N/A,,"Stage 2 approved in Q2-2016, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Clare,"Ashline, Kilrush Road, Ennis",40,*N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Clare,"Cahercalla, Ennis (Phase 2)",14,Cuan an Chlair Ltd,"Stage 1 approved in Q4-2016, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Clare,"Laurel Lodge, Clare Road, Ennis",3,Society of Saint Vincent de Paul,,,,,,Q4-2016
,CAS CONSTRUCTION,Clare,"Haggard View, Clarecastle (Phase 1)",2,Anvers Housing Association Ltd,,,,,,Q1-2018
,CAS CONSTRUCTION,Clare,"Haggard View, Clarecastle (Phase 2)",2,Anvers Housing Association Ltd,,,,,Q3-2017,
,CALF CONSTRUCTION TURNKEY,Clare,"Lios Anama, Sixmilebridge",28,Co operative Ireland,,,,,,Q4-2017
,CALF CONSTRUCTION TURNKEY,Clare,"Acha Bhile, Loughville, Lahinch Road, Ennis, Co Clare  1/2",12,Cluid Housing Association ,,,,,Q1-2018,
,CALF CONSTRUCTION TURNKEY,Clare,"Acha Bhile, Loughville, Lahinch Road, Ennis, Co Clare 2/2",18,Cluid Housing Association ,,,,,Q1-2018,
,CALF CONSTRUCTION,Clare,"Bruachlan, Westbury",22,Co-operative Housing Ireland,,,,Scheme approved for CALF funding Q2-2016,,
,SHIP CONSTRUCTION TURNKEY,Cork City,Arus Mhuire,30,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION TURNKEY,Cork City,1-4 Marble Lane,4,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Cork City,Barack Street,32,*N/A,,,,"Stage 4 approved in Q1-2018, the scheme is now fully approved.",,
,SHIP CONSTRUCTION TURNKEY,Cork City,FaranFerris,5,*N/A,,,,"Stage 4 approved in Q1-2018, the scheme is now fully approved.",,
,SHIP CONSTRUCTION TURNKEY,Cork City,High Street,9,*N/A,,,,"Stage 4 approved in Q1-2018, the scheme is now fully approved.",,
,SHIP CONSTRUCTION TURNKEY,Cork City,Tramore Road,4,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION TURNKEY,Cork City,Whites Street,43,*N/A,,,,"Stage 4 approved in Q1-2018, the scheme is now fully approved.",,
,SHIP CONSTRUCTION TURNKEY,Cork City,Woods Street,16,*N/A,,,,"Stage 4 approved in Q1-2018, the scheme is now fully approved.",,
,SHIP CONSTRUCTION TURNKEY,Cork City,Church Road,43,*N/A,,,,,Q2-2017,
,SHIP CONSTRUCTION TURNKEY,Cork City,"Sheridan Park, Tramore Road",28,*N/A,,,,,,Q4-2016
,SHIP CONSTRUCTION TURNKEY,Cork City,"Ard Aoibhinn, Banduff, Mayfield",5,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION TURNKEY,Cork City,Corcorans Quay,3,*N/A,,,,"Stage 4 approved in Q1-2017, the scheme is now fully approved.",,
,SHIP CONSTRUCTION TURNKEY,Cork City,Blarney Street,25,*N/A,,,,"Stage 4 approved in Q1-2018, the scheme is now fully approved.",,
,SHIP CONSTRUCTION TURNKEY,Cork City,"37-39 Dublin Street, Blackpool, Cork",5,*N/A,,,,,Q2-2017,
,SHIP CONSTRUCTION,Cork City,"The Meadows, Knocknacullen",1,*N/A,,,,,,Q3-2016
,SHIP CONSTRUCTION,Cork City,Boyces Street,51,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Cork City,Shandon Street/John Philpott Curran Street,9,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Cork City,St. Johns Well,6,*N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Cork City,Churchfield Place East,3,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Cork City,"Deanrock, Togher",65,*N/A,,,,,Q4-2016,
,SHIP CONSTRUCTION,Cork City,Gerald Griffin Street,41,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,Cork City,Cappanoole,2,*N/A,,,,,,Q4-2016
,SHIP CONSTRUCTION,Cork City,258 & 259 Blarney Street,2,*N/A,,,,,,Q1-2018
,REGENERATION,Cork City,Phase 1 B Knocknaheeny,29,*N/A,,,,,,Q4-2017
,REGENERATION,Cork City,Phase 2 A Knocknaheeny,47,*N/A,,,,,Q4-2017,
,REGENERATION,Cork City,Phase 1 C Knocknaheeny,41,*N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
,REGENERATION,Cork City,Phase 2 B Knocknaheeny,38,*N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
,REGENERATION,Cork City,Phase 2C Knocknaheeny,24,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Cork City,"Edel House, Grattan Street",33,Good Shepherd Services Ltd,,,"Stage 3 approved in Q1-2018, the scheme is now being tendered.",,,
,CAS CONSTRUCTION,Cork City,"Saint Vincent's Convent, Vincent's Ave/St. Mary's Street",25,Respond,"Stage 1 approved in Q2-2015, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Cork City,Thomas Davis Street (Phase 1),28,Respond,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Cork City,"Ceanncora Lawn, Ballinlough",1,Cork Mental Health Voluntary Housing Association Ltd,,,,,Q2-2017,
,CAS CONSTRUCTION,Cork City,"St. Joachim & Anne's, Anglesea Street",8,Simon Community : Cork Simon,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Cork City,"27-29 Dublin Street, Blackpool",10,Respond,,,,,Q4-2016,
,CALF CONSTRUCTION TURNKEY,Cork City,"the Meadows, Knopckacullen Ease, Gurranabraher, Cork 1/3",16,Túath Housing Association,,,,,Q1-2018,
,CALF CONSTRUCTION TURNKEY,Cork City,"the Meadows, Knopckacullen Ease, Gurranabraher, Cork 2/3",15,Túath Housing Association,,,,,Q1-2018,
,CALF CONSTRUCTION TURNKEY,Cork City,"the Meadows, Knopckacullen Ease, Gurranabraher, Cork 3/3",21,Túath Housing Association,,,,,Q1-2018,
,CALF CONSTRUCTION TURNKEY,Cork City,"Millfield Cottages, Blackpool",18,Respond!,,,,,Q1-2017,
,CALF CONSTRUCTION TURNKEY,Cork City,"Leitrim Street, Cork City",18,Cluid Housing Association,,,,Scheme approved for CALF funding Q3-2016,,
,CALF CONSTRUCTION TURNKEY,Cork City,"Popes Road, Blackpool",7,Cluid Housing Association,,,,,Q1-2017,
,CALF CONSTRUCTION TURNKEY,Cork City,"11 North Abbey Street, Cork City  /1/",6,Respond!,,,,Scheme approved for CALF funding Q1-2018,,
,CALF CONSTRUCTION,Cork City,"Mile Stream, Shanakiel, Cork City ",50,Co-operative Housing Ireland,,,,Scheme approved for CALF funding Q4-2017 ,,
,CALF CONSTRUCTION,Cork City,"124 Lr. Glanmire Road & 2 Breamer, Cork- Phase 2",3,Galtan Ltd,,,,,Q1-2017,
,CALF CONSTRUCTION,Cork City,"124 Lr. Glanmire Road & 2 Breamer, Cork Phase 1",3,Galtan Ltd,,,,,,Q1-2018
,SHIP CONSTRUCTION TURNKEY,Cork County,"Church Road/Station Road, Carrigtwohill",25,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION TURNKEY,Cork County,"Inis Alainn & Castleoaks, Bandon",11,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Cork County,"Gleann Tuairigh, Youghal",2,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION TURNKEY,Cork County,"Clondulane, Fermoy",2,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Cork County,"College Wood, Cobh",31,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Cork County,"Castletreasure, Douglas (Phase 3)",12,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Cork County,"Crann Ard, Fermoy",52,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION TURNKEY,Cork County,CulAird Carraigtwohill,29,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Cork County,"Castletreasure, Douglas (Phase 1)",12,*N/A,,,,,,Q1-2017
,SHIP CONSTRUCTION TURNKEY,Cork County,"Castletreasure, Douglas (Phase 2)",16,*N/A,,,,,,Q1-2017
,SHIP CONSTRUCTION TURNKEY,Cork County,"Claragh Road, Millstreet",6,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION TURNKEY,Cork County,"Downeen Cross, Rosscarbery",7,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION TURNKEY,Cork County,"Glanworth, Fermoy",14,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION TURNKEY,Cork County,"Quartertown, Mallow",6,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION TURNKEY,Cork County,"Beacon Point, Baltimore",6,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION TURNKEY,Cork County,"Corrin View, Fermoy",6,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION TURNKEY,Cork County,"Chapel Court, Skibereen",4,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION TURNKEY,Cork County,"Cul Na Smear, Bandon",14,*N/A,,,,,Q2-2017,
,SHIP CONSTRUCTION TURNKEY,Cork County,"Glen Dara,Ard Cashel, watergrasshill",6,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION RAPID,Cork County,"Abbeywood, Middelton",70,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION RAPID,Cork County,"Station Road, Blarney",18,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION RAPID,Cork County,"Bluepool, Kanturk",12,*N/A,,"Stage 2 approved in Q2-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Cork County,"Ard Na Greine, Cortmacsherry",15,*N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Cork County,"Tower View/C£irt na Sil¡n¡, Cloyne, East Cork",9,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Cork County,"Beechgrove, Clonakilty",57,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Cork County,"Castletreasure Grove, Douglas",1,*N/A,"Stage 1 approved in Q3-2016, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Cork County,"Poulavone, Ballincollig",57,*N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Cork County,"Newtown, Bantry",1,*N/A,"Stage 1 approved in Q2-2016, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Cork County,"Fairfield, Masseytown, Macroom",7,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Cork County,"12 & 14 Droum, Castletownbere",2,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Cork County,"Kilnagleary, Carrigaline (Phase 4)",15,*N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Cork County,"Oliver Plunkett Hill, Fermoy",10,*N/A,,,,,,Q2-2017
,SHIP CONSTRUCTION,Cork County,"Townsend Street, Skibbereen",6,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Cork County,"11/10 Harbour Hill, Cobh",1,*N/A,,,,,Q4-2016,
,SHIP CONSTRUCTION,Cork County,Kilnagleary Carrigaline (phase 1A & 1B),15,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Cork County,Kilnagleary Carrigaline (Phase 2/C),16,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Cork County,Kilnagleary Carrigaline (Phase 3/D),18,*N/A,,,,,Q4-2017,
,CAS CONSTRUCTION,Cork County,"Sisters of Mercy Church and Convent at Knocknamuck, Bantry Bay",16,Cluid Housing Association,"Stage 1 approved in Q3-2016, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Cork County,"Cuan Barra, Kilmore, Ballingeary",3,Coiste Tithe Uibh Laoire Teoranta,,,,,Q4-2017,
,CAS CONSTRUCTION,Cork County,"Townlands, Rosscarbery",9,Rosscarbery Housing Association Ltd,,,,,Q1-2018,
,CAS CONSTRUCTION,Cork County,"Avenue House, Bandon",9,Bandon Geriatric ? Community Council,,,,,,Q1-2018
,CAS CONSTRUCTION,Cork County,"Church View, Love Lane, Charleville",4,Charleville Care Project Ltd,,"Stage 2 approved in Q3-2015, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Cork County,"Fellowship House, Togher",31,Tabor Lodge Addiction ? Housing Services Ltd,,,,,Q1-2017,
,CALF CONSTRUCTION TURNKEY,Cork County,"Tanners Field, Bandon, Co Cork *",5,Túath Housing Association Ltd,,,,Scheme approved for CALF Funding Q4-2017,,
,CALF CONSTRUCTION TURNKEY,Cork County,"Tanners Field, Bandon, Co Cork *",6,Túath Housing Association Ltd,,,,Scheme approved for CALF Funding Q4-2017,,
,CALF CONSTRUCTION TURNKEY,Cork County,"College Manor, Cobh",10,Túath Housing Association,,,,,,Q4-2016
,CALF CONSTRUCTION TURNKEY,Cork County,"Ticknock, Cobh",8,Respond!,,,,,Q1-2017,
,CALF CONSTRUCTION TURNKEY,Cork County,"Beach Road, Passage West",3,Cluid Housing Association,,,,,,Q4-2017
,CALF CONSTRUCTION TURNKEY,Cork County,"Lackaduff, Codrum, Macroom, Co Cork  1/1",5,Tuath Housing Association Ltd,,,,Q1 2018,,
,CALF CONSTRUCTION TURNKEY,Cork County,"Weston, Carrigaline, Co. Cork *",7,Respond!,,,,Q1 2018,,
,CALF CONSTRUCTION ,Cork County,"Church View, Enniskeane",12,Cluid Housing Association,,,,,Q1-2017,
,CALF CONSTRUCTION,Cork County,"Cappagh, Ballynacubby, Kinsale, Co. Cork",40,Cluid Housing Association,,,,Scheme approved for CALF Funding Q3-2017,,
,CALF CONSTRUCTION,Cork County,Firgrove Harrisons Lane Charleville,6,Co operative Ireland,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,DLR,"Hazelbrook, Nutgrove, Churchtown",28,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION RAPID,DLR,Glenamuck/Stillorgan (Rockville Drive),14,*N/A,,"Stage 2 approved in Q4-2016, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION RAPID,DLR,George's Place,12,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,DLR,"66 George's Street, Dun Laoghaire",4,*N/A,,"Stage 2 approved in Q4-2016, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,DLR,"132 Pottery Road, Dun Laoghaire",4,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,DLR,"33,35, & 37 Temple Road",3,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,DLR,Assistant Harbour Master House,2,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION,DLR,The Brambles Park Close Sallynoggin,10,*N/A,,,,,Q1-2017,
,SHIP CONSTRUCTION,DLR,49 The Mews Sallynoggin Park,4,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,DLR,Shanganagh Park Lodge,1,*N/A,,,,,,Q2-2016
,SHIP CONSTRUCTION,DLR,Rosemount Court,44,*N/A,,,,,Q4-2016,
,SHIP CONSTRUCTION,DLR,Broadford Rise,21,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,DLR,Fitzgerald Park,50,*N/A,,,,,Q4-2016,
,SHIP CONSTRUCTION,DLR,Rochestown House (Phase 3),14,*N/A,,,,,Q3-2016,
,SHIP CONSTRUCTION,DLR,St Michael's Terrace,4,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION,DLR,Clontibret House,4,*N/A,,,,,,Q4-2016
,SHIP CONSTRUCTION,DLR,Cromlech Close,15,*N/A,,,,,,Q3-2016
,SHIP CONSTRUCTION,DLR,Rochestown House (Phase 2),34,*N/A,,,,,,Q1-2016
,SHIP CONSTRUCTION,DLR,"41 Ballyogan Ave., Ballyogan, Co. Dublin",2,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,DLR,"30 Obelisk Walk, Blackrock",4,St. John of God Housing Association Ltd,"Stage 1 approved in Q4-2016, outline design and costs are now being prepared.",,,,,
,CALF CONSTRUCTION TURNKEY,DLR,Respond & Tuath Project Dublin 18 area.,49,Túath Housing Association,,,,Scheme approved for CALF funding Q1-2017,,
,CALF CONSTRUCTION TURNKEY,DLR,"Hyde Road, Belmont, Stepaside",8,Respond!,,,,,Q3-2016,
,CALF CONSTRUCTION TURNKEY,DLR,"Bishops Gate, Kilternan, Dublin 18",6,Cluid Housing Association,,,,,Q3-2017,
,CALF CONSTRUCTION TURNKEY,DLR,"The Avenue, Glenside, Carrickmines Green, Dublin 18 *",5,Fold Ireland Housing Association,,,,,Q3-2017,
,CALF CONSTRUCTION TURNKEY,DLR,"Woodbank, Dublin Rd, Shankill *",4,Cluid Housing Association,,,,,,Q3-2017
,CALF CONSTRUCTION TURNKEY,DLR,"Stillorgan Gate, Kilmacud Road Upper, Co. Dublin *",4,Cluid Housing Association,,,,,,Q4-2017
,CALF CONSTRUCTION ,DLR,Respond & Tuath Project Dublin 18 area.,56,Respond!,,,,Scheme approved for CALF funding Q1-2017,,
,CALF CONSTRUCTION,DLR,"Clays Farm, Ballyogan Road (Phase 1)* ",44,The Iveagh Trust,,,,,Q4-2017,
,CALF CONSTRUCTION,DLR,"Abbeyview House, Monkstown",8,Cluid Housing Association,,,,Scheme approved for CALF funding Q1-2015,,
,SHIP CONSTRUCTION TURNKEY,Donegal,"Gleann Na Greine, Mullindrait, Stranorlar",21,*N/A,,,,,Q2-2017,
,SHIP CONSTRUCTION TURNKEY,Donegal,"Crievesmith, Letterkenny",34,*N/A,,,,"Stage 4 approved in Q1-2018, the scheme is now fully approved.",,
,SHIP CONSTRUCTION,Donegal,Carrigart (Phase 1),17,*N/A,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Donegal,"Meadow Hill, Raphoe",11,*N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Donegal,"Radharc na Tra Breige, Malin (Phase 3)",8,*N/A,,"Stage 2 approved in Q2-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Donegal,"Cois Abhainn, St Johnston (Phase 2)",6,*N/A,,"Stage 2 approved in Q2-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Donegal,"Emerald Drive, Killybegs (Phase 6)",9,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Donegal,"Long Lane, Letterkenny",29,*N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Donegal,"Rockytown, Buncrana (Phase 1)",21,*N/A,,"Stage 2 approved in Q4-2016, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Donegal,Manorcunningham (Phase 2),8,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,Donegal,"Abbots Wood, Carndonagh (Phase 2)",4,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,Donegal,Ardara (Phase 3),8,*N/A,,,,,,Q2-2017
,SHIP CONSTRUCTION,Donegal,Newtoncunningham,7,*N/A,,,,,Q1-2017,
,SHIP CONSTRUCTION,Donegal,"Railway Park, Drumrooske, Donegal Town",24,*N/A,,"Stage 2 approved in Q3-2016, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Donegal,"Ard Connell, Ardara (SRD)",1,*N/A,,,,,,Q1-2017
,SHIP CONSTRUCTION,Donegal,Manorcunningham (Phase 1),2,*N/A,,,,,,Q2-2017
,CAS CONSTRUCTION,Donegal,"Glenrowan House, Drumkeen, Stranorlar",6,Apex Housing Association,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Donegal,"Willowbrook, Glencar, Letterkenny",40,Apex Housing Association,"Stage 1 approved in Q4-2016, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Donegal,"Meenmore, Dungloe",15,County Donegal Parents and Friends Housing Association Ltd,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Donegal,"Railway Park, Drumrooske, Donegal Town",10,Oaklee Housing Trust,,"Stage 2 approved in Q3-2016, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Donegal,"Dunshenny House, Derry Road, Carndonagh",5,Apex Housing Association,,,,,Q2-2017,
,CAS CONSTRUCTION,Donegal,"Raphoe Road, Castlefinn",20,Habinteg Housing Association (Ireland) Ltd,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,CALF CONSTRUCTION TURNKEY,Donegal,"Ernedale Heights, Ballyshannon",11,Cluid Housing Association,,,,,Q3-2017,
,CALF CONSTRUCTION TURNKEY,Donegal,"Forge Road, Donegal",4,Cluid Housing Association,,,,,,Q3-2016
,CALF CONSTRUCTION TURNKEY,Donegal,"1-46 Ardrawer, Kiltoy, Letterkenny",46,Cluid Housing Association,,,,Scheme approved for CALF funding Q1-2018,,
,CALF CONSTRUCTION,Donegal,"Ballaghderg, Letterkenny, Co Donegal *",33,Respond!,,,,Scheme approved for CALF Funding Q4-2017,,
,SHIP CONSTRUCTION TURNKEY,Dublin City,Prospecthill,58,*N/A,,,,,,Q4-2017
