ESB CONNECTIONS BY  SECTOR - Quarterly,,,,
Year and Quarter,"Social Housing - 
Local Authority Housing","Social Housing - 
Voluntary & Co-operative Housing",Private Houses,Total
1991Q1,93,..,"4,692","4,785"
1991Q2,258,..,"3,906","4,164"
1991Q3,333,..,"4,895","5,228"
1991Q4,496,..,"4,979","5,475"
1992Q1,217,..,"4,155","4,372"
1992Q2,317,..,"5,603","5,920"
1992Q3,398,..,"5,886","6,284"
1992Q4,550,..,"5,338","5,888"
1993Q1,242,78,"3,684","4,004"
1993Q2,196,368,"4,487","5,051"
1993Q3,386,289,"5,089","5,764"
1993Q4,376,155,"6,041","6,572"
1994Q1,207,194,"4,291","4,692"
1994Q2,490,133,"5,266","5,889"
1994Q3,641,323,"6,835","7,799"
1994Q4,"1,036",251,"7,196","8,483"
1995Q1,411,115,"5,770","6,296"
1995Q2,756,251,"6,149","7,156"
1995Q3,621,257,"6,806","7,684"
1995Q4,"1,172",388,"7,879","9,439"
1996Q1,487,147,"6,582","7,216"
1996Q2,632,91,"7,208","7,931"
1996Q3,551,202,"7,650","8,403"
1996Q4,"1,006",477,"8,692","10,175"
1997Q1,527,77,"7,477","8,081"
1997Q2,622,170,"8,808","9,600"
1997Q3,487,286,"9,191","9,964"
1997Q4,996,223,"9,978","11,197"
1998Q1,535,27,"8,010","8,572"
1998Q2,734,119,"9,506","10,359"
1998Q3,598,172,"10,014","10,784"
1998Q4,904,167,"11,563","12,634"
1999Q1,516,148,"9,930","10,594"
1999Q2,715,80,"10,227","11,022"
1999Q3,589,115,"10,788","11,492"
1999Q4,"1,089",236,"12,079","13,404"
2000Q1,272,133,"10,302","10,707"
2000Q2,434,330,"11,590","12,354"
2000Q3,495,235,"11,892","12,622"
2000Q4,"1,003",253,"12,873","14,129"
2001Q1,577,216,"10,277","11,070"
2001Q2,722,298,"12,079","13,099"
2001Q3,818,350,"11,799","12,967"
2001Q4,"1,505",389,"13,572","15,466"
2002Q1,450,318,"11,210","11,978"
2002Q2,"1,009",312,"12,119","13,440"
2002Q3,973,309,"13,662","14,944"
2002Q4,"1,971",421,"14,941","17,333"
2003Q1,837,318,"12,554","13,709"
2003Q2  ,"1,084",386,"14,439","15,909"
2003Q3,"1,355",409,"16,376","18,140"
2003Q4,"1,240",504,"19,317","21,061"
2004Q1,692,246,"15,783","16,721"
2004Q2  ,905,520,"17,811","19,236"
2004Q3,535,220,"17,458","18,213"
2004Q4,"1,407",621,"20,756","22,784"
2005Q1,548,327,"{33,383","{35,307"
2005Q2,828,221,,
2005Q3,940,343,"17,804","19,087"
2005Q4,"1,893",459,"24,211","26,563"
2006Q1,570,184,"21,140","21,894"
2006Q2,956,416,"20,633","22,005"
2006Q3,870,333,"21,368","22,571"
2006Q4,"1,572",307,"25,070","26,949"
2007Q1,869,283,"18,866","20,018"
2007Q2,"1,022",237,"17,701","18,960"
2007Q3,"1,251",541,"15,635","17,427"
2007Q4,"1,844",624,"19,154","21,622"
2008Q1,945,335,"12,730","14,010"
2008Q2,"1,313",552,"11,861","13,726"
2008Q3,954,504,"10,792","12,250"
2008Q4,"1,693",505,"9,540","11,738"
2009Q1,546,411,"6,654","7,611"
2009Q2,861,543,"5,293","6,668"
2009Q3,963,376,"4,739","6,078"
2009Q4,992,681,"4,390","6,063"
2010Q1,364,149,"3,246","3,759"
2010Q2,208,171,"3,032","3,411"
2010Q3,308,163,"3,122","3,593"
2010Q4,448,270,"3,121","3,839"
2011Q1,215,198,"2,380","2,766"
2011Q2,67,106,"2,388","2,561"
2011Q3,141,301,"2,167","2,590"
2011Q4,63,140,"2,360","2,563"
2012Q1,50,232,"1,649","1,931"
2012Q2,111,34,"1,853","1,998"
2012Q3,22,136,"1,949","2,107"
2012Q4,180,251,"2,021","2,452"
2013Q1,120,24,"1,547","1,691"
2013Q2,73,15,"1,921","2,009"
2013Q3,60,61,"1,861","1,982"
2013Q4,40,111,"2,468","2,619"
2014Q1,28,77,"1,985","2,090"
2014Q2,4,79,"2,659","2,742"
2014Q3,24,22,"2,911","2,957"
2014Q4,102,179,"2,946","3,227"
2015Q1,20,117,"2,492","2,629"
2015Q2,0,40,"2,956","2,996"
2015Q3,19,61,"3,209","3,289"
2015Q4,36,183,"3,533","3,752"
2016Q1,14,63,"3,067","3,144"
2016Q2,103,57,"3,338","3,498"
